Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-03T13:39:54.000-03:00 | Amount: 190.00
Date: 2016-03-03T07:44:10.000-03:00 | Amount: 190.00
Date: 2016-02-29T11:59:08.000-03:00 | Amount: 4000.00
Date: 2016-03-04T04:20:05.000-03:00 | Amount: 193.50
Date: 2016-03-04T04:20:05.000-03:00 | Amount: 193.50
Date: 2016-03-04T04:20:05.000-03:00 | Amount: 193.50
Date: 2016-03-04T04:20:05.000-03:00 | Amount: 193.50
Date: 2016-03-04T04:20:05.000-03:00 | Amount: 193.50
Date: 2016-03-05T16:31:14.000-03:00 | Amount: 193.50
Date: 2016-03-05T16:19:31.000-03:00 | Amount: 193.50
Date: 2016-03-05T15:35:29.000-03:00 | Amount: 193.50
Date: 2016-03-04T17:26:42.000-03:00 | Amount: 193.50
Date: 2016-03-04T17:11:06.000-03:00 | Amount: 193.50
Date: 2016-03-04T16:22:39.000-03:00 | Amount: 193.50
Date: 2016-03-04T15:57:40.000-03:00 | Amount: 193.50
Date: 2016-03-04T04:20:05.000-03:00 | Amount: 193.50
Date: 2016-03-05T16:31:14.000-03:00 | Amount: 193.50
Date: 2016-03-05T16:19:31.000-03:00 | Amount: 193.50
Date: 2016-03-05T15:35:29.000-03:00 | Amount: 193.50
Date: 2016-03-04T17:26:42.000-03:00 | Amount: 193.50
Date: 2016-03-04T17:11:06.000-03:00 | Amount: 193.50
Date: 2016-03-04T16:22:39.000-03:00 | Amount: 193.50
Date: 2016-03-04T15:57:40.000-03:00 | Amount: 193.50
Date: 2016-03-04T04:20:05.000-03:00 | Amount: 193.50
